Region,PlotID,year,mean,Field1,Field2,Field3,Field4
1,26,1984,4.6000000000000005,,,,
1,26,1985,0.0,,,,
1,26,1986,0.0,,,,
1,26,1987,0.0,,,,
1,26,1988,0.0,,,,
1,26,1989,0.0,,,,
1,26,1990,0.0,,,,
1,26,1991,0.0,,,,
1,26,1992,2.0,,,,
1,26,1993,0.0,,,,
1,26,1994,0.0,,,,
1,26,1995,0.0,,,,
1,26,1996,0.0,,,,
1,26,1997,0.0,,,,
1,26,1998,0.0,,,,
1,26,1999,0.0,,,,
1,26,2000,0.0,,,,
1,26,2010,0.8,,,,
1,26,2011,0.2,,,,
1,26,2012,0.0,,,,
1,26,2013,0.0,,,,
1,26,2014,0.0,,,,
1,26,2015,0.0,,,,
1,26,2016,0.0,,,,
1,26,2017,0.0,,,,
1,27,1980,0.0,,,,
1,27,1981,0.4,,,,
1,27,1982,0.8,,,,
1,27,1983,0.2,,,,
1,27,1984,0.2,,,,
1,27,1985,0.4,,,,
1,27,1986,0.2,,,,
1,27,1987,0.0,,,,
1,27,1988,0.0,,,,
1,27,1989,0.0,,,,
1,27,1990,0.0,,,,
1,27,1991,0.8,,,,
1,27,1992,0.2,,,,
1,27,1993,0.0,,,,
1,27,1994,0.0,,,,
1,27,1995,0.0,,,,
1,27,1996,0.0,,,,
1,27,1997,0.0,,,,
1,27,1998,0.2,,,,
1,27,2000,0.0,,,,
1,28,1991,0.2,,,,
1,28,1992,0.4,,,,
1,28,1993,0.4,,,,
1,28,1994,0.0,,,,
1,28,1995,0.0,,,,
1,28,1996,0.0,,,,
1,28,1997,0.0,,,,
1,28,1998,0.0,,,,
1,28,1999,0.0,,,,
1,28,2000,0.0,,,,
1,28,2010,0.0,,,,
1,28,2011,0.2,,,,
1,28,2012,0.0,,,,
1,28,2013,0.0,,,,
1,28,2014,0.0,,,,
1,28,2015,0.0,,,,
1,28,2016,0.0,,,,
1,28,2017,0.0,,,,
1,29,1991,9.8,,,,
1,29,1992,0.2,,,,
1,29,1993,0.0,,,,
1,29,1994,0.0,,,,
1,29,1996,0.0,,,,
1,29,1997,0.0,,,,
1,29,1998,0.4,,,,
1,29,1999,0.0,,,,
1,29,2000,0.0,,,,
1,30,1993,0.0,,,,
1,30,1994,0.0,,,,
1,30,1995,0.0,,,,
1,30,1996,0.0,,,,
1,30,1997,0.0,,,,
1,30,1998,0.2,,,,
1,30,1999,0.4,,,,
1,30,2000,0.0,,,,
1,31,1993,0.0,,,,
1,31,1994,0.0,,,,
1,31,1995,0.0,,,,
1,31,1996,0.0,,,,
1,31,1997,0.0,,,,
1,31,1998,0.2,,,,
1,31,1999,0.0,,,,
1,31,2000,0.0,,,,
1,32,1993,0.2,,,,
1,32,1994,0.0,,,,
1,32,1995,0.0,,,,
1,32,1996,0.0,,,,
1,32,1997,0.0,,,,
1,32,1998,1.8,,,,
1,32,1999,1.8,,,,
1,32,2000,0.0,,,,
1,34,2010,1.4,,,,
1,34,2011,61.6,,,,
1,34,2012,0.2,,,,
1,34,2013,0.0,,,,
1,34,2014,0.0,,,,
1,34,2015,0.0,,,,
1,34,2016,0.0,,,,
1,34,2017,0.2,,,,
1,35,2010,2.2,,,,
1,35,2011,7.8,,,,
1,35,2012,0.2,,,,
1,35,2013,0.0,,,,
1,35,2014,0.0,,,,
1,35,2015,0.0,,,,
1,35,2016,0.0,,,,
1,35,2017,0.0,,,,
1,36,2010,2.0,,,,
1,36,2011,8.6,,,,
1,36,2012,0.2,,,,
1,36,2013,1.0,,,,
1,36,2014,0.0,,,,
1,36,2015,0.0,,,,
1,36,2016,0.0,,,,
1,36,2017,0.4,,,,
1,37,2010,1.8,,,,
1,37,2011,0.0,,,,
1,37,2012,0.2,,,,
1,37,2013,0.0,,,,
1,37,2014,0.0,,,,
1,37,2015,0.0,,,,
1,37,2016,0.0,,,,
1,37,2017,0.0,,,,
1,38,2011,16.8,,,,
1,38,2012,1.8,,,,
1,38,2013,0.8,,,,
1,38,2014,0.0,,,,
1,38,2015,0.0,,,,
1,38,2016,0.0,,,,
1,38,2017,0.0,,,,
1,39,2010,0.0,,,,
1,39,2011,0.0,,,,
1,39,2012,0.0,,,,
1,39,2013,0.0,,,,
1,39,2014,0.0,,,,
1,39,2015,0.0,,,,
1,39,2016,0.0,,,,
1,39,2017,0.0,,,,
1,40,2010,1.2,,,,
1,40,2011,4.6,,,,
1,40,2012,0.0,,,,
1,40,2013,0.0,,,,
1,40,2014,0.0,,,,
1,41,2010,0.8,,,,
1,41,2011,1.0,,,,
1,41,2012,0.0,,,,
1,41,2013,0.0,,,,
1,41,2014,0.0,,,,
1,41,2015,0.0,,,,
1,41,2016,0.0,,,,
1,41,2017,0.0,,,,
1,42,2010,2.0,,,,
1,42,2011,2.8,,,,
1,42,2012,0.0,,,,
1,42,2013,0.0,,,,
1,42,2016,0.0,,,,
1,42,2017,0.0,,,,
1,43,2010,0.0,,,,
1,43,2011,3.0,,,,
1,43,2012,0.0,,,,
1,43,2013,0.0,,,,
1,43,2016,0.0,,,,
1,43,2017,0.0,,,,
1,44,2010,0.4,,,,
1,44,2011,0.2,,,,
1,44,2012,0.0,,,,
1,44,2013,0.0,,,,
1,44,2014,0.0,,,,
1,44,2015,0.0,,,,
1,44,2016,0.25,,,,
1,44,2017,0.0,,,,
1,45,2012,2.3333333333333335,,,,
1,45,2013,0.0,,,,
1,45,2014,0.0,,,,
1,45,2015,0.0,,,,
1,45,2016,0.0,,,,
1,45,2017,0.0,,,,
1,46,2012,1.6,,,,
1,46,2013,0.0,,,,
1,46,2014,0.2,,,,
1,46,2015,0.0,,,,
1,46,2016,0.0,,,,
1,46,2017,0.0,,,,
1,47,2012,1.4,,,,
1,47,2013,0.0,,,,
1,47,2014,0.0,,,,
1,47,2015,0.0,,,,
1,47,2016,0.0,,,,
1,47,2017,0.0,,,,
2,1,1986,0.6,,,,
2,1,1987,0.0,,,,
2,1,1988,0.0,,,,
2,1,1989,0.0,,,,
2,1,1990,0.2,,,,
2,2,1986,0.0,,,,
2,2,1987,0.0,,,,
2,2,1988,0.0,,,,
2,2,1989,0.0,,,,
2,2,1990,0.0,,,,
2,3,1986,0.0,,,,
2,3,1987,0.0,,,,
2,3,1988,0.0,,,,
2,3,1989,0.0,,,,
2,3,1990,0.0,,,,
2,4,1986,0.0,,,,
2,4,1987,0.0,,,,
2,4,1988,0.0,,,,
2,4,1989,0.0,,,,
2,4,1990,0.0,,,,
2,5,1986,0.0,,,,
2,5,1987,0.0,,,,
2,5,1988,0.0,,,,
2,5,1989,0.0,,,,
2,5,1990,0.0,,,,
2,6,1986,1.4000000000000001,,,,
2,6,1987,0.0,,,,
2,6,1988,2.0,,,,
2,6,1989,0.0,,,,
2,6,1990,0.2,,,,
2,6,1998,2.0,,,,
2,6,2010,0.0,,,,
2,6,2011,0.0,,,,
2,6,2012,0.0,,,,
2,6,2013,0.0,,,,
2,7,1986,0.2,,,,
2,7,1987,0.0,,,,
2,7,1988,0.0,,,,
2,7,1989,0.0,,,,
2,7,1990,0.0,,,,
2,8,1986,8.8,,,,
2,8,1987,0.0,,,,
2,8,1988,4.6000000000000005,,,,
2,8,1989,0.0,,,,
2,8,1990,0.6,,,,
2,8,1995,0.0,,,,
2,9,1986,0.2,,,,
2,9,1987,0.0,,,,
2,9,1988,0.6,,,,
2,9,1989,0.0,,,,
2,9,1990,0.2,,,,
2,10,1986,0.2,,,,
2,10,1987,0.0,,,,
2,10,1988,0.0,,,,
2,10,1989,0.0,,,,
2,10,1990,0.0,,,,
2,11,1986,0.4,,,,
2,11,1987,0.0,,,,
2,11,1988,0.4,,,,
2,11,1989,0.0,,,,
2,11,1990,0.0,,,,
2,12,1986,0.2,,,,
2,12,1987,0.0,,,,
2,12,1988,0.0,,,,
2,12,1989,0.0,,,,
2,12,1990,0.0,,,,
2,13,1986,4.6000000000000005,,,,
2,13,1987,0.2,,,,
2,13,1988,6.4,,,,
2,13,1989,0.0,,,,
2,13,1990,0.0,,,,
2,14,1986,0.6,,,,
2,14,1987,0.0,,,,
2,14,1988,0.2,,,,
2,14,1989,0.0,,,,
2,14,1990,0.4,,,,
2,15,1986,4.2,,,,
2,15,1987,0.2,,,,
2,15,1988,1.2,,,,
2,15,1989,0.0,,,,
2,15,1990,0.4,,,,
2,16,1986,2.8000000000000003,,,,
2,16,1987,0.2,,,,
2,16,1988,1.2,,,,
2,16,1989,0.0,,,,
2,16,1990,0.0,,,,
2,17,1986,5.0,,,,
2,17,1987,0.2,,,,
2,17,1988,0.8,,,,
2,17,1989,0.0,,,,
2,17,1990,0.2,,,,
2,18,1986,4.0,,,,
2,18,1987,0.0,,,,
2,18,1988,0.6,,,,
2,18,1989,0.2,,,,
2,18,1990,0.8,,,,
